Minutes after start,W,compressor time (m:s),,,,temp in fridge,temp in water,temp in air
0,,,,,,11.34,19.75,20
5,,,,,,9.55,18.32,19.9
10,,,,,,9.6,17.3,19.85
15,59,8:38,,,,9.65,16.76,19.9
20,48,,,,,9.45,15.73,20
25,,,,,,8.96,15.34,19.9
30,,,,,,9.11,14.71,20
35,,,,,,9.4,14.22,19.85
40,,,,,,9.11,13.73,20.14
45,,,,,,9.26,13.29,19.85
50,59.4,8:24,,,,9.11,13.05,19.76
55,47.5,,,,,8.96,12.31,20.05
60,,,,,,8.67,11.92,19.95
65,,,,,,9.01,11.48,20
70,,,,,,8.86,11.58,20.14
75,,,,,,8.82,11.43,19.57
80,58.7,8:20,,,,8.77,10.9,19.66
85,47.6,,,,,8.62,10.75,19.95
90,,,,,,8.62,10.5,
